"info__year","info__version","info__description","info__contributor","info__url","info__date_created","licenses__id","licenses__url","licenses__name","categories__id","categories__name","categories__supercategory","images__id","images__license","images__file_name","images__height","images__width","images__date_captured","annotations__id","annotations__image_id","annotations__category_id","annotations__bbox__001","annotations__bbox__002","annotations__bbox__003","annotations__bbox__004","annotations__area","annotations__iscrowd"
"2022","10","Exported from roboflow.ai","","https://public.roboflow.ai/object-detection/undefined","2022-12-09T13:35:51+00:00","1","https://creativecommons.org/licenses/by/4.0/","CC BY 4.0","0","pedestrians","none","0","1","s_395_jpg.rf.62516cd87fe7892568b22244247bf08f.jpg","1390","866","2022-12-09T13:35:51+00:00","0","0","4","416","626","82.08","229","18796.32","0"
"","","","","","","","","","1","children_wo_disability","pedestrians","1","1","586aec85-2b92-492d-9c6e-e89c476ff423-jumbo1x1_ain2_png.rf.62dc68e7430bd2fa368a19eecd007a48.jpg","1440","1440","2022-12-09T13:35:51+00:00","1","0","4","255","610","107.66","238","25623.08","0"
"","","","","","","","","","2","elderly_wo_disability","pedestrians","2","1","wheelchairbound-man-climbing-stairs-business-600w-2176572055_jpg.rf.627053eeb9f722affeccbcf8a1a248a8.jpg","420","600","2022-12-09T13:35:51+00:00","2","1","4","13","478","559.68","804","449982.72","0"
"","","","","","","","","","3","non_vulnerable","pedestrians","3","1","None1303_jpg.rf.6300aedec3642f3cc5de7a1239376f15.jpg","480","320","2022-12-09T13:35:51+00:00","3","2","4","285","115","142.98","152.5","21804.45","0"
"","","","","","","","","","4","with_disability","pedestrians","4","1","new-york-ny-may-16-600w-1733121173_jpg.rf.6324efee573a0bcf93f7c29649ab3226.jpg","399","600","2022-12-09T13:35:51+00:00","4","3","2","107","32","109.76","340.14","37333.766","0"
"","","","","","","","","","","","","5","1","istockphoto-1222183673-612x612_jpeg.rf.634dbe710f7519f32a68d33b60bce7c7.jpg","408","612","2022-12-09T13:35:51+00:00","5","3","3","196","81","82.21","246.73","20283.673","0"
"","","","","","","","","","","","","6","1","c_6_jpg.rf.63cca14bbb56a85e970331c0d95e52ab.jpg","159","318","2022-12-09T13:35:51+00:00","6","3","3","0","65","53.17","312.65","16623.601","0"
"","","","","","","","","","","","","7","1","j7mmny780_jpeg.rf.63dbde2aef01534726e41f95374c9b77.jpg","189","266","2022-12-09T13:35:51+00:00","7","3","3","260","75","57.23","216.03","12363.397","0"
"","","","","","","","","","","","","8","1","56fsehu7thk_jpeg.rf.640c8ed93f8caa5fd416b971122a543c.jpg","274","184","2022-12-09T13:35:51+00:00","8","3","3","280","66","39.76","241.55","9604.028","0"
"","","","","","","","","","","","","9","1","little-boy-going-cross-zebra-600w-2024513312_jpg.rf.64117927731879ad63011df31f99a0cf.jpg","420","600","2022-12-09T13:35:51+00:00","9","4","3","99","128","39.93","74.71","2983.17","0"
"","","","","","","","","","","","","10","1","safety-on-way-to-school_jpeg.rf.6469fcb85b1947d7dada46bbc3d6467c.jpg","400","800","2022-12-09T13:35:51+00:00","10","4","3","317","128","38.7","80.59","3118.833","0"
